Isolate ID,Sample ID,Genus,Species,sigB AT,Number of  contigs,Genome size (bp),GC (%),N50,Average coverage,Bioproject,SRA Run Accession,WGS Acession,Phylogroup,State,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (C),Min temperature (C),Wind speed (m/s),Open water (%),Developed (< 20% Impervious) (%),Developed (> 20% Impervious) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%)
L7-1507,UT-BD-5,Listeria,L. aquatica,S5067,12,2647951,39.41,564328,115.523,PRJNA561882,SRR11343876,JAARRM000000000,-,UT,37.0238,-113.8623,1034.09,0.0605,0.0992,4.2573,8.002,1.8567,2.9138,19165.8619,0.1003,0.7764,210.6487,364.8904,11.9064,0.0734,30.3906,119.2835,26.7048,0.4367,75.65,7.2658,-7.9797,2.6551,0.0002,0.5183,0.0474,0.6306,2.9802,67.3231,28.5001,0.0,0.0,0.0
L7-1509,SD-BN-1,Listeria,L. immobilis,279,62,3037662,35.94,183435,101.121,PRJNA561882,SRR11343875,JAASUD000000000,L11,SD,43.91,-102.6949,768.48,0.3529,0.3201,3.6821,7.618,6.6133,3.2793,4306.8655,0.0371,0.7808,485.3451,559.6482,5.3874,0.0282,302.8897,10.1648,10.2112,0.5971,20.25,0.0552,-13.3294,3.8806,0.4415,0.8608,0.2936,0.6777,0.2536,0.9785,89.3968,0.5787,2.9224,3.5964
L7-1510,SD-BN-1,Listeria,L. immobilis,289,46,2936695,35.93,214661,57.812,PRJNA561882,SRR11343874,JAASUC000000000,L11,SD,43.91,-102.6949,768.48,0.3529,0.3201,3.6821,7.618,6.6133,3.2793,4306.8655,0.0371,0.7808,485.3451,559.6482,5.3874,0.0282,302.8897,10.1648,10.2112,0.5971,20.25,0.0552,-13.3294,3.8806,0.4415,0.8608,0.2936,0.6777,0.2536,0.9785,89.3968,0.5787,2.9224,3.5964
L7-1515,SD-BN-4,Listeria,L. immobilis,279,52,3066851,35.94,177674,49.4283,PRJNA561882,SRR11344254,JAASUB000000000,L11,SD,43.8954,-102.6854,765.77,0.3477,0.271,3.9594,8.099,5.6425,1.0999,21369.432,0.1037,2.732,617.4552,506.5905,126.593,0.084,55.6654,47.9207,29.493,1.5661,20.475,-0.0581,-13.379,3.8759,0.5007,1.1464,0.0877,0.8231,0.2876,1.096,89.9462,0.9476,3.2176,1.9471
L7-1517,SD-BN-5,Listeria,L. immobilis,290,37,2976361,35.78,227776,48.9773,PRJNA561882,SRR11344253,JAASUA000000000,L11,WY,43.8903,-107.6896,1383.71,0.4787,0.2408,2.8005,7.931,5.3751,6.4634,5931.3998,0.0631,1.3928,533.8034,577.4901,8.8535,0.0333,153.3986,10.9963,7.5516,1.5476,5.425,1.031,-17.011,4.5378,0.0004,0.0,0.0,0.8412,0.001,89.2474,9.9005,0.0,0.0,0.0094
L7-1519,SD-BN-5,Listeria,L. immobilis,279,46,3066300,35.92,156931,46.8662,PRJNA561882,SRR11344252,JAASTZ000000000,L11,WY,43.8903,-107.6896,1383.71,0.4787,0.2408,2.8005,7.931,5.3751,6.4634,5931.3998,0.0631,1.3928,533.8034,577.4901,8.8535,0.0333,153.3986,10.9963,7.5516,1.5476,5.425,1.031,-17.011,4.5378,0.0004,0.0,0.0,0.8412,0.001,89.2474,9.9005,0.0,0.0,0.0094
L7-1523,UT-FN-4,Listeria,L. weihenstephanensis,S5068,77,3479037,41.2,111341,117.323,PRJNA561882,SRR11344251,JAARRL000000000,-,UT,38.5815,-112.3892,1858.28,0.3776,0.2459,3.3766,7.726,5.6149,1.744,4882.7888,0.0451,1.073,831.3099,356.0087,9.699,0.0306,47.7422,44.9047,13.0711,1.5887,22.2,-0.1126,-15.2223,2.2373,0.0059,1.2721,0.574,0.0057,63.7413,33.7193,0.4861,0.0057,0.0313,0.1587
L7-1529,MT-CG-3,Listeria,L. booriae,S5063,286,3269884,41.75,145608,59.2707,PRJNA561882,SRR11344250,JAARRK000000000,L12,MT,46.0159,-108.0283,906.41,0.1492,0.1034,1.3527,7.766,2.1774,10.9048,3100.7663,0.0171,0.746,260.7081,599.7574,18.8193,0.0274,24.1927,3.7549,4.6926,0.4683,11.1,0.7826,-13.5639,4.8914,1.9636,1.0903,1.491,0.0306,1.9737,41.108,34.8343,2.3702,11.2685,3.8698
L7-1535,MT-PC-1,Listeria,L. welshimeri,219,23,2745108,36.3,290315,213.013,PRJNA561882,SRR11344249,JAARRJ000000000,L8,MT,46.2505,-106.65,805.28,0.1357,0.0741,1.3959,8.195,1.4757,6.9451,9494.7368,0.0728,4.0036,208.0637,203.8376,90.4043,0.0478,21.1635,7.9249,7.643,0.1708,22.45,-0.7065,-13.7574,4.6039,1.7752,0.9713,1.9416,0.0264,9.0888,42.1638,26.9377,0.3669,12.2056,4.5227
L7-1541,MT-PC-3,Listeria,L. booriae,S5063,150,3233467,41.77,127206,97.6162,PRJNA561882,SRR11344248,JAARRI000000000,L12,MT,46.2431,-106.644,815.9,0.2263,0.1451,2.4043,8.058,2.8884,8.2844,10712.2451,0.1185,1.6182,332.8658,703.2738,33.5229,0.053,36.8162,4.903,20.652,0.205,23.525,-1.2306,-14.4932,4.6012,1.596,0.9082,1.8834,0.013,9.1944,39.9377,29.2467,0.2979,12.229,4.6937
L7-1542,MT-PC-3,Listeria,L. welshimeri,281,83,2774537,36.45,503132,118.866,PRJNA561882,SRR11344246,JAASTY000000000,L8,MT,46.2431,-106.644,815.9,0.2263,0.1451,2.4043,8.058,2.8884,8.2844,10712.2451,0.1185,1.6182,332.8658,703.2738,33.5229,0.053,36.8162,4.903,20.652,0.205,23.525,-1.2306,-14.4932,4.6012,1.596,0.9082,1.8834,0.013,9.1944,39.9377,29.2467,0.2979,12.229,4.6937
L7-1547,MT-PC-4,Listeria,L. booriae,S5062,58,3462550,41.45,144307,134.501,PRJNA561882,SRR11344245,JAASTX000000000,L12,MT,46.2342,-106.6345,838.93,0.2281,0.1031,1.9312,8.51,2.4716,12.5639,7084.3065,0.0701,1.1815,302.2251,982.3767,15.7476,0.0414,28.2044,2.3421,6.8741,0.0936,23.525,-1.2306,-14.4932,4.6012,1.199,0.7822,1.5711,0.0048,8.9179,39.1439,32.548,0.2468,12.1244,3.4619
L7-1548,MT-UTR-4,Listeria,L. seeligeri,121,37,3008408,37.04,141579,96.2063,PRJNA561882,SRR11344244,JAARRH000000000,L9,MT,46.0614,-105.5688,824.44,0.3329,0.2506,3.0636,7.664,5.463,4.4668,3998.0929,0.0399,0.5791,506.7971,967.0051,6.3822,0.0288,47.0955,5.955,9.7933,1.9869,17.7,-2.4194,-14.4523,4.3639,0.0206,0.965,0.069,0.0,2.5355,35.9783,59.0288,0.0,0.0623,1.3405
L7-1554,MT-UTR-5,Listeria,L. immobilis,288,44,2924628,35.92,144674,39.2069,PRJNA561882,SRR11344243,JAASTW000000000,L11,MT,46.052,-105.5743,833.48,0.2241,0.1916,2.3617,7.45,4.3521,2.7792,2989.9166,0.0248,0.5027,307.1959,560.3631,6.7829,0.0286,26.7339,18.0402,9.4647,0.4017,17.7,-2.4194,-14.4523,4.3639,0.0203,0.8412,0.1078,0.0,2.6386,36.3781,58.9146,0.0,0.0623,1.0369
L7-1558,MT-UTR-5,Listeria,L. immobilis,279,61,2937475,35.92,108742,33.0347,PRJNA561882,SRR11344242,JAASTV000000000,L11,MT,46.052,-105.5743,833.48,0.2241,0.1916,2.3617,7.45,4.3521,2.7792,2989.9166,0.0248,0.5027,307.1959,560.3631,6.7829,0.0286,26.7339,18.0402,9.4647,0.4017,17.7,-2.4194,-14.4523,4.3639,0.0203,0.8412,0.1078,0.0,2.6386,36.3781,58.9146,0.0,0.0623,1.0369
L7-1560,OR-DN-5,Listeria,L. seeligeri,7,28,2900540,37.27,242102,151.06,PRJNA561882,SRR11344241,JAARRG000000000,L10,OR,43.9458,-121.4308,1236.51,0.1353,0.5761,23.0399,5.215,33.7819,84.3396,2427.4358,0.0833,31.1058,594.5395,552.4204,161.6815,0.0631,89.4032,29.2133,20.0802,6.6096,17.475,3.2181,-9.0,3.0107,1.3441,4.3847,0.9836,0.0711,70.4346,19.9231,1.8937,0.1931,0.0,0.7719
L7-1566,MI-PR-2,Listeria,L. welshimeri,21,11,2860334,36.18,593819,170.733,PRJNA561882,SRR11344240,JAARRF000000000,L8,MI,46.5247,-86.4666,231.63,0.2336,0.1622,2.3209,6.072,3.552,7.4365,1398.2342,0.0424,3.1795,45.3491,137.8927,66.2854,0.0259,19.1154,6.1306,7.3753,1.3087,,,,,38.5493,1.0959,0.0451,0.0803,46.0326,0.0426,0.1328,0.0,0.0002,14.0212
L7-1572,MT-LTR-2,Listeria,L. grandensis,S5041,106,3303811,41.82,218465,88.8483,PRJNA561882,SRR11344239,JAARRE000000000,-,MT,46.4425,-105.8517,799.62,0.2024,0.1769,2.1091,6.979,3.2345,4.2828,1757.1425,0.055,0.7694,240.5855,315.4181,13.2666,0.0271,24.0728,7.618,7.8178,0.6345,24.4,-2.6494,-13.7568,4.3927,2.2887,3.4749,4.9476,0.0212,3.4953,28.1985,45.3044,1.0368,8.2273,3.0052
L7-1574,WY-BH-1,Listeria,L. seeligeri,24,80,2974940,37.13,223804,117.469,PRJNA561882,SRR11344238,JAARRD000000000,L9,SD,44.7016,-103.7297,906.87,0.3354,0.301,3.4384,7.257,5.1994,5.6962,3750.7409,0.0679,1.0851,432.5858,646.0219,7.053,0.0305,200.2398,17.4574,12.0865,0.637,11.575,-0.559,-13.3894,3.8287,11.4276,1.7432,0.5347,0.0134,0.4966,2.9252,68.0248,0.6315,10.8946,3.3084
L7-1578,WY-BH-3,Listeria,L. immobilis,279,53,3015934,35.96,138184,46.3136,PRJNA561882,SRR11344237,JAASTU000000000,L11,SD,44.7083,-103.7171,909.97,0.3576,0.2057,2.2722,8.702,4.4782,17.4972,6232.1179,0.1218,1.5236,412.2088,1851.0661,18.3769,0.0437,334.0471,2.5475,36.0093,0.2949,11.575,-0.559,-13.3894,3.8287,13.8587,1.5233,0.2686,0.0122,0.3202,2.3447,65.5579,0.7143,12.4403,2.9598
L7-1580,WY-BH-3,Listeria,L. seeligeri,12,62,2926984,37.19,414884,309.776,PRJNA561882,SRR11344235,JAARRC000000000,L9,SD,44.7083,-103.7171,909.97,0.3576,0.2057,2.2722,8.702,4.4782,17.4972,6232.1179,0.1218,1.5236,412.2088,1851.0661,18.3769,0.0437,334.0471,2.5475,36.0093,0.2949,11.575,-0.559,-13.3894,3.8287,13.8587,1.5233,0.2686,0.0122,0.3202,2.3447,65.5579,0.7143,12.4403,2.9598
L7-1581,WY-BH-3,Listeria,L. seeligeri,24,29,2928667,37.22,372896,66.587,PRJNA561882,SRR11344234,JAARRB000000000,L9,SD,44.7083,-103.7171,909.97,0.3576,0.2057,2.2722,8.702,4.4782,17.4972,6232.1179,0.1218,1.5236,412.2088,1851.0661,18.3769,0.0437,334.0471,2.5475,36.0093,0.2949,11.575,-0.559,-13.3894,3.8287,13.8587,1.5233,0.2686,0.0122,0.3202,2.3447,65.5579,0.7143,12.4403,2.9598
L7-1582,WY-BH-3,Listeria,L. portnoyi,S5061,62,3157653,41.9,125185,55.0706,PRJNA561882,SRR11344233,JAASTT000000000,-,SD,44.7083,-103.7171,909.97,0.3576,0.2057,2.2722,8.702,4.4782,17.4972,6232.1179,0.1218,1.5236,412.2088,1851.0661,18.3769,0.0437,334.0471,2.5475,36.0093,0.2949,11.575,-0.559,-13.3894,3.8287,13.8587,1.5233,0.2686,0.0122,0.3202,2.3447,65.5579,0.7143,12.4403,2.9598
L7-1584,WY-BH-4,Listeria,L. welshimeri,280,19,2716241,36.32,374717,75.4241,PRJNA561882,SRR11344232,JAARRA000000000,L8,SD,44.7135,-103.7186,925.49,0.4894,0.4622,5.4387,7.674,7.7724,2.5671,18134.5724,0.0849,0.8281,688.6748,295.3723,14.3332,0.0743,51.3929,7.7214,20.2287,0.3118,11.575,-0.559,-13.3894,3.8287,14.0773,1.47,0.2413,0.0122,0.2062,2.1037,66.5967,0.7066,11.9545,2.6316
L7-1585,WY-BH-4,Listeria,L. welshimeri,179,20,2700101,36.27,256236,103.107,PRJNA561882,SRR11344231,JAARQZ000000000,L8,SD,44.7135,-103.7186,925.49,0.4894,0.4622,5.4387,7.674,7.7724,2.5671,18134.5724,0.0849,0.8281,688.6748,295.3723,14.3332,0.0743,51.3929,7.7214,20.2287,0.3118,11.575,-0.559,-13.3894,3.8287,14.0773,1.47,0.2413,0.0122,0.2062,2.1037,66.5967,0.7066,11.9545,2.6316
L7-1586,WY-BH-4,Listeria,L. booriae,S5062,62,3264534,41.79,136029,82.7221,PRJNA561882,SRR11344230,JAARQY000000000,L12,SD,44.7135,-103.7186,925.49,0.4894,0.4622,5.4387,7.674,7.7724,2.5671,18134.5724,0.0849,0.8281,688.6748,295.3723,14.3332,0.0743,51.3929,7.7214,20.2287,0.3118,11.575,-0.559,-13.3894,3.8287,14.0773,1.47,0.2413,0.0122,0.2062,2.1037,66.5967,0.7066,11.9545,2.6316
L7-1587,WY-BH-4,Listeria,L. welshimeri,281,23,2760011,36.21,242225,81.2773,PRJNA561882,SRR11344229,JAARQX000000000,L8,SD,44.7135,-103.7186,925.49,0.4894,0.4622,5.4387,7.674,7.7724,2.5671,18134.5724,0.0849,0.8281,688.6748,295.3723,14.3332,0.0743,51.3929,7.7214,20.2287,0.3118,11.575,-0.559,-13.3894,3.8287,14.0773,1.47,0.2413,0.0122,0.2062,2.1037,66.5967,0.7066,11.9545,2.6316
L7-1588,WY-BH-4,Listeria,L. booriae,S5063,270,3268983,41.61,130582,51.6593,PRJNA561882,SRR11344228,JAASTS000000000,L12,SD,44.7135,-103.7186,925.49,0.4894,0.4622,5.4387,7.674,7.7724,2.5671,18134.5724,0.0849,0.8281,688.6748,295.3723,14.3332,0.0743,51.3929,7.7214,20.2287,0.3118,11.575,-0.559,-13.3894,3.8287,14.0773,1.47,0.2413,0.0122,0.2062,2.1037,66.5967,0.7066,11.9545,2.6316
L7-1590,WY-BH-5,Listeria,L. welshimeri,280,257,2919161,36.23,311512,73.4082,PRJNA561882,SRR11344227,JAARQW000000000,L8,SD,44.7186,-103.7191,908.97,0.3983,0.4607,5.3916,7.817,7.7788,2.5288,14452.0346,0.0813,0.8072,683.0978,365.1072,16.1547,0.063,55.0989,10.9947,22.5798,0.3477,11.575,-0.559,-13.3894,3.8287,16.1345,1.417,0.2237,0.0122,0.1677,1.9761,65.243,0.6996,11.6548,2.4715
L7-1591,WY-BH-5,Listeria,L. welshimeri,281,23,2753465,36.21,316365,76.7824,PRJNA561882,SRR11344226,JAARQV000000000,L8,SD,44.7186,-103.7191,908.97,0.3983,0.4607,5.3916,7.817,7.7788,2.5288,14452.0346,0.0813,0.8072,683.0978,365.1072,16.1547,0.063,55.0989,10.9947,22.5798,0.3477,11.575,-0.559,-13.3894,3.8287,16.1345,1.417,0.2237,0.0122,0.1677,1.9761,65.243,0.6996,11.6548,2.4715
L7-1594,WY-BH-5,Listeria,L. booriae,S5063,251,3462980,41.3,146033,69.9033,PRJNA561882,SRR11344224,JAARQU000000000,L12,SD,44.7186,-103.7191,908.97,0.3983,0.4607,5.3916,7.817,7.7788,2.5288,14452.0346,0.0813,0.8072,683.0978,365.1072,16.1547,0.063,55.0989,10.9947,22.5798,0.3477,11.575,-0.559,-13.3894,3.8287,16.1345,1.417,0.2237,0.0122,0.1677,1.9761,65.243,0.6996,11.6548,2.4715
L7-1596,SD-BH-2,Listeria,L. seeligeri,12,58,2895337,37.15,102893,234.044,PRJNA561882,SRR11344223,JAARQT000000000,L9,SD,44.4063,-103.4829,1044.89,0.6282,0.535,9.6315,7.607,13.8314,3.2176,6789.3683,0.0637,2.417,492.7085,797.404,46.0144,0.0436,39.2691,56.6287,13.773,1.0569,13.225,0.0335,-12.2181,3.8109,0.4402,3.0653,4.2814,0.0111,36.0399,14.3736,36.6812,2.4113,1.0906,1.6055
L7-1599,SD-BH-2,Listeria,L. welshimeri,27,11,2683673,36.34,1418385,168.614,PRJNA561882,SRR11344097,JAARQS000000000,L8,SD,44.4063,-103.4829,1044.89,0.6282,0.535,9.6315,7.607,13.8314,3.2176,6789.3683,0.0637,2.417,492.7085,797.404,46.0144,0.0436,39.2691,56.6287,13.773,1.0569,13.225,0.0335,-12.2181,3.8109,0.4402,3.0653,4.2814,0.0111,36.0399,14.3736,36.6812,2.4113,1.0906,1.6055
L7-1600,SD-BH-5,Listeria,L. welshimeri,27,28,2872811,36.18,300680,94.9001,PRJNA561882,SRR11344096,JAARQR000000000,L8,SD,44.3947,-103.4815,1060.42,0.6141,0.4249,6.6481,7.471,9.0659,1.4341,11369.1971,0.048,1.0216,457.7074,620.602,29.2136,0.0529,41.3229,42.5917,16.1291,0.6462,13.225,0.0335,-12.2181,3.8109,0.4376,2.9276,3.8652,0.0111,41.6136,13.4491,33.044,2.4806,0.9779,1.1931
L7-1601,SD-BH-5,Listeria,L. welshimeri,281,15,2724904,36.26,318796,93.556,PRJNA561882,SRR11344095,JAARQQ000000000,L8,SD,44.3947,-103.4815,1060.42,0.6141,0.4249,6.6481,7.471,9.0659,1.4341,11369.1971,0.048,1.0216,457.7074,620.602,29.2136,0.0529,41.3229,42.5917,16.1291,0.6462,13.225,0.0335,-12.2181,3.8109,0.4376,2.9276,3.8652,0.0111,41.6136,13.4491,33.044,2.4806,0.9779,1.1931
L7-1606,MN-CF-1,Listeria,L. welshimeri,131,25,2807188,36.17,362303,104.204,PRJNA561882,SRR11344094,JAARQP000000000,L8,MN,45.0281,-93.4376,275.65,0.1683,0.0898,1.3278,7.537,2.0054,1.5292,2112.9043,0.0334,0.9018,95.3278,225.1156,10.6787,0.017,22.119,12.0824,5.0729,0.578,29.95,-6.6971,-16.181,3.1668,5.8778,24.9663,53.4006,0.6453,4.7792,0.0396,0.2091,3.2946,1.3589,5.4286
L7-1612,MN-CF-2,Listeria,L. welshimeri,16,15,2879192,36.13,371759,78.0313,PRJNA561882,SRR11344093,JAARQO000000000,L8,MN,45.0255,-93.4351,276.52,0.3174,0.31,3.8223,7.699,5.1793,1.7288,7250.6378,0.0532,1.4007,282.6065,347.2586,18.2123,0.0407,32.7264,16.0027,14.1205,1.0013,30.1,-6.6571,-15.8832,3.1742,5.9568,25.9818,52.302,0.6485,4.9582,0.0338,0.2166,3.1365,1.1919,5.5738
L7-1614,MN-LR-2,Listeria,L. newyorkensis,S5064,35,3472102,43.05,185275,74.8978,PRJNA561882,SRR11344092,JAARQN000000000,-,MN,45.0224,-93.6377,299.06,0.5339,0.2901,3.6884,7.528,6.7125,1.6918,7730.5422,0.0396,1.2045,351.4034,610.4083,15.3712,0.044,36.6358,31.6891,10.9668,0.8541,27.2,-6.6155,-16.5652,3.1537,11.5184,7.4601,8.9756,0.0279,17.809,0.4103,0.7877,23.5488,15.4744,13.9878
L7-1615,MN-LR-5,Listeria,L. welshimeri,27,13,2820755,36.15,537116,75.0623,PRJNA561882,SRR11344091,JAARQM000000000,L8,MN,45.0177,-93.6296,296.86,0.4375,0.3875,4.7649,7.368,8.1554,1.0509,4492.4601,0.0159,0.6428,372.8877,750.8578,11.2785,0.0304,29.3233,12.3267,9.3667,0.5804,27.2,-6.6155,-16.5652,3.1537,10.5854,7.9465,9.8019,0.0235,18.4016,0.5428,0.9383,22.9834,14.0971,14.6794
L7-1616,MN-LR-5,Listeria,L. welshimeri,89,12,2770403,36.17,502140,81.5653,PRJNA561882,SRR11344090,JAARQL000000000,L8,MN,45.0177,-93.6296,296.86,0.4375,0.3875,4.7649,7.368,8.1554,1.0509,4492.4601,0.0159,0.6428,372.8877,750.8578,11.2785,0.0304,29.3233,12.3267,9.3667,0.5804,27.2,-6.6155,-16.5652,3.1537,10.5854,7.9465,9.8019,0.0235,18.4016,0.5428,0.9383,22.9834,14.0971,14.6794
L7-1620,MN-LR-5,Listeria,L. welshimeri,129,33,2941864,36.12,326215,82.6218,PRJNA561882,SRR11344088,JAARQK000000000,L8,MN,45.0177,-93.6296,296.86,0.4375,0.3875,4.7649,7.368,8.1554,1.0509,4492.4601,0.0159,0.6428,372.8877,750.8578,11.2785,0.0304,29.3233,12.3267,9.3667,0.5804,27.2,-6.6155,-16.5652,3.1537,10.5854,7.9465,9.8019,0.0235,18.4016,0.5428,0.9383,22.9834,14.0971,14.6794
L7-1621,IA-RR-4,Listeria,L. rocourtiae,S5065,40,3147698,40.07,147189,70.9516,PRJNA561882,SRR11344087,JAARQJ000000000,-,IA,41.5535,-93.7237,246.35,0.0685,0.0408,2.1064,7.145,0.8671,3.4642,4736.9682,0.075,2.4113,63.158,247.5084,9.5292,0.0299,23.678,6.6928,4.7158,0.5265,48.275,-2.2897,-11.0806,3.9883,5.2059,17.5202,37.6693,0.3595,7.2679,0.0388,0.4397,11.8681,13.3917,6.2388
L7-1623,IA-RR-4,Listeria,L. welshimeri,27,17,2732492,36.25,446361,263.154,PRJNA561882,SRR11344086,JAARQI000000000,L8,IA,41.5535,-93.7237,246.35,0.0685,0.0408,2.1064,7.145,0.8671,3.4642,4736.9682,0.075,2.4113,63.158,247.5084,9.5292,0.0299,23.678,6.6928,4.7158,0.5265,48.275,-2.2897,-11.0806,3.9883,5.2059,17.5202,37.6693,0.3595,7.2679,0.0388,0.4397,11.8681,13.3917,6.2388
L7-1624,IA-RR-4,Listeria,L. innocua,87,19,2861166,37.37,487159,105.405,PRJNA561882,SRR11344085,JAARQH000000000,L6,IA,41.5535,-93.7237,246.35,0.0685,0.0408,2.1064,7.145,0.8671,3.4642,4736.9682,0.075,2.4113,63.158,247.5084,9.5292,0.0299,23.678,6.6928,4.7158,0.5265,48.275,-2.2897,-11.0806,3.9883,5.2059,17.5202,37.6693,0.3595,7.2679,0.0388,0.4397,11.8681,13.3917,6.2388
L7-1625,IA-RR-4,Listeria,L. innocua,23,12,2853861,37.37,589451,86.9222,PRJNA561882,SRR11344084,JAARQG000000000,L6,IA,41.5535,-93.7237,246.35,0.0685,0.0408,2.1064,7.145,0.8671,3.4642,4736.9682,0.075,2.4113,63.158,247.5084,9.5292,0.0299,23.678,6.6928,4.7158,0.5265,48.275,-2.2897,-11.0806,3.9883,5.2059,17.5202,37.6693,0.3595,7.2679,0.0388,0.4397,11.8681,13.3917,6.2388
L7-1626,IA-RR-4,Listeria,L. seeligeri,12,39,2856741,37.22,171231,53.0082,PRJNA561882,SRR11344083,JAARQF000000000,L9,IA,41.5535,-93.7237,246.35,0.0685,0.0408,2.1064,7.145,0.8671,3.4642,4736.9682,0.075,2.4113,63.158,247.5084,9.5292,0.0299,23.678,6.6928,4.7158,0.5265,48.275,-2.2897,-11.0806,3.9883,5.2059,17.5202,37.6693,0.3595,7.2679,0.0388,0.4397,11.8681,13.3917,6.2388
L7-1629,IA-CS-2,Listeria,L. fleischmannii,S5066,76,2919778,38.49,162151,80.8901,PRJNA561882,SRR11344082,JAARQE000000000,-,IA,41.582,-93.2824,275.35,0.3696,0.3096,3.472,6.693,5.6101,6.4291,2980.1727,0.0286,1.5709,410.2279,551.1999,14.3308,0.0321,44.4746,9.775,8.9277,3.8689,52.225,-2.1671,-11.4929,3.9982,0.196,3.5886,1.8147,0.1593,4.9585,0.0348,2.8053,18.3679,67.3246,0.7501
L7-1630,IA-CS-2,Listeria,L. seeligeri,12,32,2823160,37.22,209259,46.3366,PRJNA561882,SRR11344081,JAARQD000000000,L9,IA,41.582,-93.2824,275.35,0.3696,0.3096,3.472,6.693,5.6101,6.4291,2980.1727,0.0286,1.5709,410.2279,551.1999,14.3308,0.0321,44.4746,9.775,8.9277,3.8689,52.225,-2.1671,-11.4929,3.9982,0.196,3.5886,1.8147,0.1593,4.9585,0.0348,2.8053,18.3679,67.3246,0.7501
L7-1635,IA-CS-3,Listeria,L. monocytogenes,90,17,2842420,38.08,544185,124.838,PRJNA514286,SRR9620889,AAHZIH000000000,L1,IA,41.5573,-93.269,248.27,0.2946,0.1486,1.9261,6.79,3.5508,7.0104,1958.4062,0.0196,1.5678,126.3194,318.181,12.6264,0.0242,30.0561,4.7679,7.1275,1.055,52.45,-1.9703,-11.3384,3.9995,2.8193,3.6153,1.8487,0.2099,6.4394,0.038,3.0949,17.645,60.1936,4.096
L7-1636,IA-CS-3,Listeria,L. seeligeri,12,34,2846159,37.17,240906,81.2001,PRJNA561882,SRR11344080,JAARQC000000000,L9,IA,41.5573,-93.269,248.27,0.2946,0.1486,1.9261,6.79,3.5508,7.0104,1958.4062,0.0196,1.5678,126.3194,318.181,12.6264,0.0242,30.0561,4.7679,7.1275,1.055,52.45,-1.9703,-11.3384,3.9995,2.8193,3.6153,1.8487,0.2099,6.4394,0.038,3.0949,17.645,60.1936,4.096
L7-1637,IA-CS-3,Listeria,L. monocytogenes,282,23,2796780,38.15,272475,126.075,PRJNA514286,SRR9620962,AAHZKK000000000,L1,IA,41.5573,-93.269,248.27,0.2946,0.1486,1.9261,6.79,3.5508,7.0104,1958.4062,0.0196,1.5678,126.3194,318.181,12.6264,0.0242,30.0561,4.7679,7.1275,1.055,52.45,-1.9703,-11.3384,3.9995,2.8193,3.6153,1.8487,0.2099,6.4394,0.038,3.0949,17.645,60.1936,4.096
L7-1639,IA-CS-3,Listeria,L. seeligeri,24,43,2892288,37.17,149819,56.7435,PRJNA561882,SRR11344079,JAARQB000000000,L9,IA,41.5573,-93.269,248.27,0.2946,0.1486,1.9261,6.79,3.5508,7.0104,1958.4062,0.0196,1.5678,126.3194,318.181,12.6264,0.0242,30.0561,4.7679,7.1275,1.055,52.45,-1.9703,-11.3384,3.9995,2.8193,3.6153,1.8487,0.2099,6.4394,0.038,3.0949,17.645,60.1936,4.096
L7-1641,IA-CS-4,Listeria,L. fleischmannii,S5014,37,2790061,38.58,174999,104.359,PRJNA561882,SRR11344077,JAARQA000000000,-,IA,41.5592,-93.2789,273.92,0.3364,0.2027,2.381,6.981,4.6039,8.9706,3082.3929,0.0331,1.5682,360.7022,622.1573,12.113,0.0294,33.6687,7.0721,7.7421,0.7402,52.45,-1.9703,-11.3384,3.9995,2.543,3.3524,1.8274,0.2516,6.1523,0.0787,2.8211,20.2471,58.6859,4.0404
L7-1642,IA-CS-4,Listeria,L. welshimeri,249,279,2995596,36.28,304570,61.168,PRJNA561882,SRR11344076,JAARPZ000000000,L8,IA,41.5592,-93.2789,273.92,0.3364,0.2027,2.381,6.981,4.6039,8.9706,3082.3929,0.0331,1.5682,360.7022,622.1573,12.113,0.0294,33.6687,7.0721,7.7421,0.7402,52.45,-1.9703,-11.3384,3.9995,2.543,3.3524,1.8274,0.2516,6.1523,0.0787,2.8211,20.2471,58.6859,4.0404
L7-1645,IA-CS-5,Listeria,L. fleischmannii,S5014,26,2826175,38.58,174928,99.2818,PRJNA561882,SRR11344075,JAARPY000000000,-,IA,41.56,-93.2792,271.56,0.3466,0.169,2.2235,7.593,4.0456,7.4061,3794.6401,0.0324,1.0282,218.7661,862.1963,10.8583,0.0298,30.7027,10.731,6.1852,0.475,52.45,-1.9703,-11.3384,3.9995,2.3982,3.322,1.7935,0.2486,6.1419,0.0804,2.8056,20.2907,58.9456,3.9735
